id,country,name,address,focus,source_page
00001,Albania,Confederation of Albanian Trade Unions,"Pallati Ali Kelmendi, Blvd Dëshmorët e Kombit, Tirana - T: (042) 22956; Fax: 22956 - Founded: 1991; Members: 130000; Members Ass.: 13; Member/Branch of: ICFTU",Labour Unions,image00023.jpg
00002,Algeria,Association des Editeurs de Journaux / Newspapers Editors' Association,"100 Rue Hassiba Ben Bouali, Alger - T: (02) 660942; Fax: 651341 - Pres: Zoubir Souissi",Newspapers,image00023.jpg
00003,Algeria,Association Nationale des Fabricants et Utilisateurs d'Emballages Metalliques / National Association of Metal Packaging Manufacturers and End-Users,"BP 245, Alger",Pack,image00023.jpg
00004,Algeria,Fédération Nationale de l'Hôtellerie et de la Restauration / National Hotels' and Restaurants' Association,"Hôtel El-Aurassi, Blvd F. Famom, Alger - T: (02) 748252, 717386; Fax: 717385 - Gen Secr: Abdelkader Lamri",Restaur & Hotels,image00023.jpg
00005,Algeria,Institut National Algérien du Commerce Extérieur,"6 Blvd Anatole-France, Alger - T: (02) 627044",Commerce,image00023.jpg
00006,Algeria,Institut National des Industries Manufacturières / National Institute of Manufacturing Industries,35000 Boumerdès - T: (02) 816271; Fax: 825662 - Founded: 1973 - Pres: Hocine Hassissi,Gen Ind,image00023.jpg
00007,Algeria,"Secteur Alimentation, Commerce et Tourism de l'Union Générale des Travailleurs Algériens","Maison du Peuple, Pl du 1er Mai, Alger - T: (02) 668947",Labour Unions,image00023.jpg
00008,Algeria,"Secteur Bois, Bâtiment et Travaux Publics de l'Union Générale des Travailleurs Algériens","Maison du Peuple, Pl du 1er Mai, Alger - T: (02) 668947",Labour Unions,image00023.jpg
00009,Algeria,Secteur Energie et Pétrochimie de l'Union Générale des Travailleurs Algériens,"Maison du Peuple, Pl du 1er Mai, Alger - T: (02) 668947",Labour Unions,image00023.jpg
00010,Algeria,Secteur Finances de l'Union Générale des Travailleurs Algériens,"Maison du Peuple, Pl du 1er Mai, Alger - T: (02) 668947",Labour Unions,image00023.jpg
00011,Algeria,Secteur Industries Légères de l'Union Générale des Travailleurs Algériens,"Maison du Peuple, Pl du 1er Mai, Alger - T: (02) 668947",Labour Unions,image00023.jpg
00012,Algeria,Secteur Industries Lourdes de l'Union Générale des Travailleurs Algériens,"Maison du Peuple, Pl du 1er Mai, Alger - T: (02) 668947",Labour Unions,image00023.jpg
00013,Algeria,Secteur Transports et Télécommunications de l'Union Générale des Travailleurs Algériens,"Maison du Peuple, Pl du 1er Mai, Alger - T: (02) 668947",Labour Unions,image00023.jpg
00014,Algeria,Union Arabe du Fer et de l'Acier (UAFA),"BP 4, Alger - T: (02) 781579 - Founded: 1972; Members Firms: 52",Iron & Steel,image00023.jpg
00015,Algeria,Union Générale des Travailleurs Algériens (UGTA),"Maison du Peuple, Pl du 1er Mai, Alger - T: (02) 668947 - Founded: 1956; Members: 1000000",Labour Unions,image00023.jpg
00016,Angola,Associação Comercial de Luanda,"CP 1275, Luanda - T: (02) 322453",Commerce,image00023.jpg
00017,Angola,União Nacional de Trabalhadores Angolanos (UNTA),"CP 28, Luanda - Founded: 1960; Members: 600000",Labour Unions,image00023.jpg
00018,Antigua and Barbuda,Antigua and Barbuda Employers' Federation,"POB 298, Saint John's - T: 4620449; Fax: 4620449; E-mail: aempfed@candw.ag - Founded: 1950; Members Firms: 89 - Pres: Pedro Corbin; Gen Secr: Henderson Bass",Employers,image00023.jpg
00019,Antigua and Barbuda,Antigua and Barbuda Workers' Union (AWU),"Freedom Hall, Newgate St, Saint John's - T: 4622005, 4620442; Fax: 4625220; E-mail: awu@candw.ag - Founded: 1967; Members: 10000; Member/Branch of: ITF, ICFTU, UNI, CCL, IUF - Pres: Maurice B. Christian; Gen Secr: Keithlyn Smith",Labour Unions,image00023.jpg
00020,Antigua and Barbuda,Antigua Cotton Growers' Association,"Dunbars, Saint John's - T: 4624962 - Pres: Francis Henry; Gen Secr: Peter Blanchette",Cott & Cott Prod,image00023.jpg
00021,Antigua and Barbuda,Antigua Hotels and Tourist Association,Saint John's - POB 454 - T: 4620374; Fax: 4624928,Restaur & Hotels; Tourism,image00023.jpg
00022,Antigua and Barbuda,Antigua Trades and Labour Union (ATLU),"46 North St, Saint John's - T: 4620090 - Founded: 1939; Members: 10000",Labour Unions,image00023.jpg
00023,Antigua and Barbuda,National Assembly of Workers,"Cross St, Saint John's - Founded: 1992",Labour Unions,image00023.jpg
00024,Argentina,A.E.R.C.A. de Empresarios,"San Juan 1369, X5900EBI Villa María - T: (0353) 4531948",Gen Bus,image00023.jpg
